編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLNKKILFFBA27CC,,250.36,住商用,磚造,,三層,
RPPOMLNKKILFFBA37CC,,72.73,住家用,磚造,,三層,
RPPOMLNKKILFFBA37CC,,72.73,,磚造,,三層,
RPPOMLNKKILFFBA37CC,,72.73,,磚造,,三層,
RPSOMLNKKILFFBA67CC,,85.90,,加強磚造,,三層,
RPSOMLNKKILFFBA67CC,,42.95,,加強磚造,,三層,
RPOOMLNKKILFFFA67CC,47,104.76,住家用,鋼筋混凝土造,58年10月22日,十二層,
RPQNMLOKKILFFCA57CC,,176.30,,加強磚造,,二層,
RPWNMLPKKILFFDA38CC,,86.59,住商用,鋼筋混凝土造,,五層,
RPWNMLPKKILFFDA38CC,,20.56,住商用,鋼筋混凝土造,,五層,
RPWNMLPKKILFFDA38CC,,67.41,見使用執照,鋼筋混凝土造,,五層,
RPQQMLQKKILFFCA08CC,50,26.80,住商用,加強磚造,56年5月18日,四層,
RPVNMLTKKILFFDA68CC,,143.02,,加強磚造,,二層,
RPOOMLLLKILFFEA47CC,51,104.30,住家用,加強磚造,54年7月30日,二層,
RPUNMLMLKILFFBA77CC,36,50.64,商業用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,9.65,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,131.19,住家用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,22.14,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,308.84,商業用,鋼筋混凝土造,69年8月22日,七層,
RPUNMLMLKILFFBA77CC,36,41.05,共有部分,鋼筋混凝土造,69年8月22日,七層,
RPOPMLSLKILFFBA97CC,,497.40,住商用,加強磚造,,四層,
RPVOMLSLKILFFEA88CC,46,125.76,住商用,加強磚造,60年4月16日,三層,
RPSNMLOJJHMFFEA77CC,22,318.51,住家用,鋼筋混凝土造,83年10月12日,二層,
RPUOMLOJJHMFFBA77CC,48,76.24,住家用,加強磚造,58年5月1日,二層,
RPUOMLOJJHMFFBA77CC,48,76.24,住家用,加強磚造,58年5月1日,二層,
RPUOMLOJJHMFFBA77CC,29,76.12,住家用,鋼筋混凝土造,77年5月3日,三層,
RPUOMLOJJHMFFBA77CC,29,4.64,住家用,鋼筋混凝土造,77年5月3日,三層,
RPXNMLQJJHMFFBA28DC,,294.23,,加強磚造,,四層,
